vote,comment
13,حسب إحصاء أجرته جامعة جونز هوبكنز في الولايات المتحدة، وجمعت فيه بيانات من منظمة الصحة العالمية ومن السلطات الصحية في كل بلد. تثير الأرقام بعض التفاؤل، حيث إنه من جملة العدد الحالي للمصابين البالغ 85 ألفا، تعافى حتى الآن 36500 شخص.
7, 79251 البر الصيني3150 كوريا الجنوبية1128 ايطاليا705 اخرون بالسفينة على شاطيء يوكوهاما593 ايران241 اليابان102 سنغفورة100 فرنسا94 هونغ كونغ79 المانيا68 امريكا45 الكويت45 اسبانيا42 تايلاند41 البحرين39 التايوان25 استراليا25 ماليزيا23 بريطانيا21 الامارات18 سويسرا16 كندا16 الفيتنام13 العراق12 السويد10 ماكاو9 النمسا7 النرويج7 الكيان الصهيوني6 عمان6 هولاندا6 كرواتيا4 باكستان4 المكسيك4 لبنان4 اليونان3 الهند3 الدنمارك3 الفلبين3 فنلندا3 رومانيا2 روسيا2 البرازيل1 افغانستان1 قطر1 نيبال1 ليتوانيا1 كمبوديا1 جورجيا1 نيجيريا1 الجزائر1 ايسلاندا1 بلجيكا1 سان مارينو1 ماسدونيا الشمالية1 لوكسومبرغ1 موناكو1 بيلاروسيا 1 نيوزيلاندا1 استونيا1 مصر1 ازربيذجان1 سيريلانكا
7,"صرحت الدكتورة هالة زايد، وزيرة الصحة المصرية، إن 82% من مصابي كورونا حالتهم الصحية خفيفة وليسوا بحاجة للذهاب إلى المستشفى، مضيفة: ""هذه الحالات بتخف لوحدها، ومش محتاجة تروح المستشفى.. و15% من مصابى كورونا بيحتاجوا يذهبوا للمستشفى، و5% بحاجة لرعاية مركزة"". هذا ماصرحت به الوزيرة المصرية لبرنامج بالقناة المصرية."
40,يا لطيف ...الله يرحمنا او يلطف بنا... الحمدالله حتى حالة متسجلات عندنا لحد الان ...يا ربي يبعد هاد البلاء علينا او على الجميع الله يسترنا
1,إيران تجني ويلات الثورة التي قام بها جزء أمي متخلف على الشاه بدعم من الغرب و إسرائيل، فبعد أن كانت إيران من أكثر دول العالم النامي تقدما و ثراءا أصبحت ترزخ تحت سطوة نظام تيوقراطي خرافي متخلف يصدر للعالم الفقر و البؤس و العنف و الأوبئة و الإرهاب و الخرافة و الدجل... بعد أن أغرق الشعب الإيراني بالكامل في هذه الفضائع البغيضة، إيران تسبح خارج التاريخ و أعتقد أن إيران ستنتهي لا محالة لما ٱلت إليه يوغوزلافيا سابقا كأفضل حل ممكن متاح بما سينهي للأسف حضارة أمة امتدت لآلاف السنين.
19,كما قال الرئيس الفنزويلي نيكولاس مادورو أن كورونا موفيد 19 هو مؤامرة أمريكية إسرائيلية ضد الصين لكبحها
-114,تم ترحيل مواطن ايطالي الى اين. وقيلة سفطوه المغرب. بعد يوم او يومين سنسمع اول حالة في المغرب.
101,الخبر الصحيح هو أن إيطاليا طالبت سلطات تبون بالسماح لمواطنيها بمغادرة الجزائر حتى يُعالج في بلاده وفي ظروف أفضل .
-43,عجيب أمر الجزائر، لماذا لم تبق على المواطن الإيطالي فوق أراضيها وتقوم بالتكفل بعلاجه؟ أن انها لا طاقة لها بهذا العلاح؟
29,كل الدول تريد أن تحمي فقط من يدخلها فلا يهمهم من يغادرها. و هدا يزيد في إنتشار الوباء أكتر. احترم ما فعلته الجزائر. و مادا عن المسافرين ألدين كانوا صحبته؟
