vote,comment
35,المغاربة لا يخافون من الموت، والدليل هجرتهم بحرا هروبا من الحگرة ...
61,اودي طلبوا غير السلامة اما كورونا غاتشد وزارة الصحة ديالنا مع معندها صحة ستفترسها افتراسا لذا نسأل الله ان يبعد عنا هذا الوباء...فالصين بتطورها في المجال الصحي ودهشات...تحياتي
13,بشكل مفاجئ أعلن المطعم الصيني المتواجد بمدينة فاس،صباح اليوم الجمعة 31 يناير الجاري إغلاق أبوابه أمام الزبائن ابتداء من 31/01/2020، إلى أجل غير مسمى.فان المطعم المذكور اعلن لزبناءه الذين كانوا يتوافدون عليه بأعداد مهمة إغلاقه ابوابه ابتداء من اليوم الجمعة إلى موعد غير محدد ، مشيرة ان الإعلان الصغير الذي ثبته بمواقع مختلفة من واجهته الأمامية آثار فضول المارة الذين عمدوا على توثيق الإغلاق بصور وفيديوهات، خاصة أن الإغلاق الذي لم تحدد مدته ولا سببه
17,الوباء وصل حتى إلى اوربا ، فرنسا اكتشفت 4 حاﻻت ، وهناك تخوف كبير رغم الاحتياطات المتحدة ، حفظ الله بلدنا الحبيب من كل سوء.
126,إن شاء الله تصير الصين في مصاف الدول المتخلفة الجائعة كجيرانها نيبال، كل هذه المصائب سلطها الله على الصين بسبب اضطهادهم للمسلمين الأويغور. كلها من دعوات المضطهدين المستضعفين. اللهم أهلكهم
46,"شركة apple وخا تنوض الحرب ماغاديش تحيد الناس من المعامل ديالها اللي ف الصين, هادي عام ونص تفضحات انها كتخدم اطفال صينيين ف مصانعها وكتبيع منتجاتها ب مئات الدولارات والاف الدولارات وكتخلصهم ب جوج ريال للساعه ودبا ف قلب الازمة البيولوجية ماقادرينش يخليو حتى الخدامة يمشيو لديورهم يجلسوا فيها.. من احقر الشركات في العالم."
 43,الوقاية من فيروس كورونا تستوجب الابتعاد بمسافة لا تقل عن عشرة امتار عن كل من يحمل ملامح آسيوية. والابتعاد عن كل من اتى حديثا من منطقة آسيوية. سكان شرق آسيا من اكثر شعوب العالم عفنا وقذارة، فهم يأكلون كل ما يدب على الارض، وكل ما يطير في السماء، لا بسبب المجاعة، بل ببساطة لأنهم قوم معفنين، يأكلون الدود والصراصير والخنافس والفئران والطوبات والخفاش والخنزير البري والافاعي والسحالي والحمير والقطط والكلاب والقرود، والسمك النيء.. يستطيعون اكل اي شيء يتحرك، بدون طهي، بل ان بعضهم يفطر في الصباح على قهوة مصنوعة ببراز القرد، ويسمونها قهوة فاخرة، ويبعونها لضعاف العقول والمخبولين من السياح بعد خلطها بالتوابل لاخفاء رائحة البراز، لهذا تنتشر بينهم الأوبئة والامراض الفتاكة، فبعد وباء سارس القاتل الذي انتشر في 2002 وقتل المئات، ها هو يعود هذا الوباء بحلة جديدة اكثر فتكا، وهؤلاء الأسياويين يعرفون جيدا مدى عفن وقذارة ابناء شعبهم، لذلك تجد العديد منهم يضع كمامات في الاماكن المزدحمة.
-9,الله يهديكم. اش من انهيار. الصين دولة قوية وستتجاوز هذه المحنة. الصين مرت من محن اصعب من هذا وتجاوزتها. المواطن الصيني مواطن يعمل بجد ويحب بلده.
42,لم أرى أنذل من بعض التعليقات التي توزع اقدار الله على هواها فأذا اصاب من يكرهون مكروه قالوا عقاب و اذا اصابهم المكروه هم انفسهم قالوا ابتلاء! الفيروس فيروس لا يصيب على الهوية والعقيدة ايها الاذكياء و اذا انتشر في الصين فيسيقتل ايضا المسلمين الذين تتباكون عنهم لانهم ببساطة جزء من المجتمع هناك و لتسألوا انفسكم اذا كان عقابا فما ذنب الأبرياء و ماذنب الدول الاخرى التي انتقل اليها ؟ نسأل الله الشفاء لجميع خلقه و ان تتجاوز الصين هذه المحنة و تخرج منها سالمة و ان يبعد عنهم وعنا وعن جميع البلاد كل مكروه و ان يحفظ العلماء المنكبين في المحتبرات لانقاذ البشرية.
33,واش ما بغيتوش تفهمو ان الفيروس كيهدد الدول الفقيرة و منها الدول العربية اكثر من الدول القوية و منها الصين.راه فيروس ماشي زلزال و عاجلا ام اجلا غادي يضرب الدول الإسلامية الفقيرة مثل بنغلاديش و باكستان و نيجيريا و مصر و المغرب و ديك الساعة بغيت نشوف اصحاب العقاب الالهي.راه ممكن يتلغى الحج هذا العام بسبب كورونا يا اصحاب العقاب الالهي.راه كورونا فالصين ما غادي يعرف لا مسلم ولا بوذي و يقدر يقتل حتى مسلمي الصين اكثر من اللي قتلت فيهم الحكومة الصينية.و من فوق هاذشي اش دخل الشعب الصيني بشي حاجة دارتها حكومته الشيوعية .و خدمو عقولكم راه طريقة تفكيركم اخطر من كورونا
19,نقطة نظام .كل العلماء في الدول المتقدمة سواء في اروبا او امريكا او في الصين واليابان وروسيا يبحثون اليوم عن لقاح جديد لكرونا ، ومثلما وجدوا في السابق علاجات ولقاحات ضد الكثير من الفيروسات الموسمية ، اكيد سيجدون لقاح جديد لكورونا..لهذا اقول لبعض التعاليق الغبية جدا الذين يتشفين في الصين، لاتنسوا ان هناك أقلية صينية مسلمة تعيش هي الاخرى في الصين واذا ما اصاب الصينين مكروه سيصابون هم كذلك.منذ عقود طويلة ان لم اقل منذ قرون والمسلمين يدعون بالويل والتبور داخل المساجد للفرنسيين والبريطانيين والامريكيين والاسراءيليين، لكن الله لا يستجيب لدعاءهم على الاطلاق ، بل بالعكس من ذلك نلاحظ ان هده الامم تتقدم يوم بعد يوم وشهرا بعد شهر وسنة بعد اخرى اقتصاديا وعلميا وعسكريا، بل وعلى جميع الاصعدة كما في علم الجميع.
24,سبحان الله..فيروس صغير جدا ينبغي تكبيره آلاف المرات بالمجهر لرؤيته ومع ذلك فهو قوي جدا..ولهذا أعشق كلام رب العزة في كتابه الحبيب فهو دائما يخبرنا بكل شيء ولكن أكثر الناس يغفلون عنه..وهنا أتذكر قوله تعالى : وما يعلم جنود ربك إلا هو..جندي بالغ الصغر لكنه بالغ القوة..إنها قوة القوي العزيز..
18,"اقتصاد الصين لا يرتبط بالتساقطات و صلاة الاستسقاء و رهن الأخضر و اليابس في قروض ""زعطوط"" . الصين لا يسيرها ""لحلايقية"" لينهار اقتصادها بسبب فيروس هي تبحث له عن مضاد و ""النصابة"" يطمئنون و هم قابعون ينتظرون ما تأتي به الأقدار . إنها الصين يا سادة التي لا يخلو بيت من بيوت العالم من منتوج من منتوجاتها ."
2,ما اله دخل بالفايروس او بالناس البريئة الله يعينهم بحزن عليهم ، لكن انهيار الاقتصاد الصيني بشكل كبير، كانوا المسلمين المضطهدين و الصينين الرافضين لاضطهاد المسلمين يوعوا العالم بمقاطعة المنتجات الصينية لكن مو الكل كان عم يقاطع ، وما كان التأثر بالاقتصاد واضح بينما هلئ السبب رباني بانهيار الاقتصاد الصيني ، هاد اللي بقصدوه اصحاب التعليقات
